Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
,,,,,,15.75,2540563.25,-60247.3515625,74496.828125,-60204.8515625,-7844.755859375,
,,,,,,16,2627212.25,-62544.609375,76219.4765625,-62492.359375,-2665.220703125,
,,,,,,16.25,2693559.25,-64107.359375,77295.625,-64040.609375,1521.5625,
,,,,,,16.5,2738572,-64885.8671875,77654.2734375,-64791.6171875,4766.59765625,
,,,,,,16.75,2762445,-64976.875,77334.4296875,-64859.375,7152.1328125,
,,,,,,17,2766738,-64571.3828125,76496.578125,-64449.125,8811.16796875,
,,,,,,17.25,2752668.75,-63845.6328125,75332.2265625,-63734.1328125,9918.203125,
,,,,,,17.5,2721437.75,-62948.390625,73960.375,-62852.890625,10644.48828125,
,,,,,,17.75,2674924.75,-61977.1484375,72433.53125,-61883.890625,11117.76953125,
,,,,,,18,2614559.5,-60964.6484375,70847.1796875,-60859.3984375,11447.3046875,
,,,,,,18.25,2540150.5,-59941.40625,69316.328125,-59828.40234375,11751.58984375,
,,,,,,18.5,2449141.5,-58909.4140625,67882.984375,-58809.91015625,12098.375,
,,,,,,18.75,2338088.25,-57859.91796875,66527.625,-57791.1640625,12451.66015625,
,,,,,,19,2205011.25,-56811.421875,65181.28125,-56755.41796875,12746.1953125,
,,,,,,19.25,2049052.25,-55725.9296875,63769.9296875,-55653.42578125,12950.23046875,
,,,,,,19.5,1870251,-54570.43359375,62295.58203125,-54494.1796875,13056.015625,
,,,,,,19.75,1671042,-53425.44140625,60807.73046875,-53368.93359375,13088.796875,
,,,,,,20,1456488.875,-52405.4453125,59373.8828125,-52355.19140625,13116.58203125,
,,,,,,20.25,1232811.75,-51586.69921875,58066.03125,-51520.9453125,13186.6171875,
,,,,,,20.5,1005802.75,-50953.95703125,56882.18359375,-50877.19921875,13269.90234375,
,,,,,,20.75,779425.625,-50426.7109375,55746.33203125,-50344.95703125,13313.6875,
,,,,,,21,555284.5,-49940.46875,54604.484375,-49846.9609375,13277.47265625,
,,,,,,21.25,332195.4375,-49380.47265625,53406.6328125,-49276.21484375,13119.5078125,
,,,,,,21.5,106814.34375,-48607.7265625,52064.28515625,-48500.97265625,12809.54296875,
,,,,,,21.75,-123642.734375,-47595.734375,50558.43359375,-47497.9765625,12358.82421875,
,,,,,,22,-360435.8125,-46414.48828125,48975.5859375,-46335.734375,11802.109375,
,,,,,,22.25,-602916.875,-45176.49609375,47423.734375,-45114.48828125,11184.14453125,
,,,,,,22.5,-846874,-43980.75,45967.88671875,-43925.9921875,10541.1796875,
,,,,,,22.75,-1085283,-42857.5078125,44597.03515625,-42809.25,9849.96484375,
,,,,,,23,-1311212.25,-41805.01171875,43254.1875,-41782.25390625,9073,
,,,,,,23.25,-1518973.25,-40803.515625,41893.83984375,-40811.7578125,8184.78515625,
