Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
,,,,,,17,-857030.625,-4786.317383,22756.62695,-4787.207031,-13534.10449
,,,,,,17.25,-837627,-4618.833984,22414.87109,-4629.717773,-12516.23145
,,,,,,17.5,-819263.3125,-4336.349609,21979.11328,-4361.227539,-11693.3584
,,,,,,17.75,-801923.6875,-3905.865234,21424.35742,-3941.737305,-11137.48633
,,,,,,18,-785624.0625,-3378.380859,20756.60156,-3414.24707,-10834.11328
,,,,,,18.25,-770412.4375,-2852.896484,20038.8457,-2876.757813,-10688.74023
,,,,,,18.5,-756240.75,-2349.413086,19345.08984,-2369.267578,-10666.36816
,,,,,,18.75,-743045.125,-1790.928711,18677.33398,-1824.777344,-10805.49512
,,,,,,19,-730697.5,-1128.444336,17987.57617,-1173.287598,-11113.62207
,,,,,,19.25,-719069.875,-390.9599609,17246.82031,-433.7973633,-11553.25
,,,,,,19.5,-708130.25,374.5239258,16450.06445,332.6923828,-12092.87695
,,,,,,19.75,-697862.625,1152.008301,15613.30859,1104.182617,-12715.00391
,,,,,,20,-688299,1956.492676,14762.55176,1901.672363,-13425.13184
,,,,,,20.25,-679423.375,2798.976807,13892.7959,2737.162354,-14226.75879
,,,,,,20.5,-671203.75,3662.460938,12986.04004,3608.652344,-15090.38672
,,,,,,20.75,-663496.125,4540.945313,12035.2832,4508.142578,-15988.51367
,,,,,,21,-656188.5,5430.429199,11069.52734,5398.632324,-16894.64063
,,,,,,21.25,-649296.8125,6294.913574,10130.77148,6236.12207,-17756.26758
,,,,,,21.5,-642789.1875,7098.397461,9214.014648,7013.612305,-18548.39453
,,,,,,21.75,-636585.5625,7823.881836,8312.258789,7749.102539,-19289.52344
,,,,,,22,-630605.9375,8470.366211,7469.50293,8432.591797,-19983.15039
,,,,,,22.25,-624802.3125,9046.850586,6718.746582,9035.082031,-20629.77734
,,,,,,22.5,-619238.6875,9572.333984,6043.990234,9563.572266,-21231.4043
,,,,,,22.75,-614011,10033.81836,5451.233887,10021.0625,-21765.53125
,,,,,,23,-609055.375,10366.30273,5007.478027,10348.55273,-22171.6582
,,,,,,23.25,-604355.75,10523.78711,4762.72168,10497.04199,-22392.78516
,,,,,,23.5,-599880.125,10544.27148,4632.965332,10511.53223,-22447.91406
,,,,,,23.75,-595596.5,10490.75586,4494.209473,10464.02148,-22403.04102
,,,,,,24,-591472.875,10361.23926,4340.453125,10353.51172,-22274.16797
,,,,,,24.25,-587573.25,10138.72363,4231.696777,10150.00195,-22059.79492
,,,,,,24.5,-583913.625,9863.208008,4185.940918,9874.492188,-21794.92188
